HIRAGANA,KANJI,ENGLISH,KANJI MEANINGS,LESSION SECTION,CATAEGORY
おはよう。,,Good morning.,,Genki 1::L00::01 Greetings_0,L1_Greetings
おはよう　ございます。,,Good morning. (polite),,Genki 1::L00::01 Greetings_1,L1_Greetings
こんにちは。,,Good afternoon.,,Genki 1::L00::01 Greetings_2,L1_Greetings
こんばんは。,,Good evening.,,Genki 1::L00::01 Greetings_3,L1_Greetings
さようなら。,,Good-bye.,,Genki 1::L00::01 Greetings_4,L1_Greetings
おやすみ（なさい）。,,Good night.,,Genki 1::L00::01 Greetings_5,L1_Greetings
ありがとう。,,Thank you.,,Genki 1::L00::01 Greetings_6,L1_Greetings
ありがとう　ございます。,,Thank you. (polite),,Genki 1::L00::01 Greetings_7,L1_Greetings
すみません。,,Excuse me.; I'm sorry.,,Genki 1::L00::01 Greetings_8,L1_Greetings
いいえ。,,No.; Not at all.,,Genki 1::L00::01 Greetings_9,L1_Greetings
いってきます。,,I'll go and come back.,,Genki 1::L00::01 Greetings_10,L1_Greetings
いってらっしゃい。,,Please go and come back.,,Genki 1::L00::01 Greetings_11,L1_Greetings
ただいま。,,I'm home.,,Genki 1::L00::01 Greetings_12,L1_Greetings
おかえり（なさい）。,,Welcome home.,,Genki 1::L00::01 Greetings_13,L1_Greetings
いただきます。,,Thank you for the meal. (before eating),,Genki 1::L00::01 Greetings_14,L1_Greetings
ごちそうさま（でした）。,,Thank you for the meal. (after eating),,Genki 1::L00::01 Greetings_15,L1_Greetings
はじめまして。,,How do you do?,,Genki 1::L00::01 Greetings_16,L1_Greetings
〜です。,,I am ...,,Genki 1::L00::01 Greetings_17,L1_Greetings
よろしく　おねがいします。,,Nice to meet you.,,Genki 1::L00::01 Greetings_18,L1_Greetings
ゼロ／れい,,0,,Genki 1::L00::02 Numbers 0-100_0,L1_Numbers
いち,一,1,One,Genki 1::L00::02 Numbers 0-100_1,L1_Numbers
に,二,2,Two,Genki 1::L00::02 Numbers 0-100_2,L1_Numbers
さん,三,3,Three,Genki 1::L00::02 Numbers 0-100_3,L1_Numbers
よん／し／（よ）,四,4,Four,Genki 1::L00::02 Numbers 0-100_4,L1_Numbers
ご,五,5,Five,Genki 1::L00::02 Numbers 0-100_5,L1_Numbers
ろく,六,6,Six,Genki 1::L00::02 Numbers 0-100_6,L1_Numbers
なな／しち,七,7,Seven,Genki 1::L00::02 Numbers 0-100_7,L1_Numbers
はち,八,8,Eight,Genki 1::L00::02 Numbers 0-100_8,L1_Numbers
きゅう／く,九,9,Nine,Genki 1::L00::02 Numbers 0-100_9,L1_Numbers
じゅう,十,10,Ten,Genki 1::L00::02 Numbers 0-100_10,L1_Numbers
